5000000, 15619
3000000, 8998
2000000, 6451
1000000, 3245
500000, 1619
4000000, 12629
750000, 2440
100000, 605
1000, 48
0, 0
5000000, 15059
3000000, 8997
2000000, 6354
1000000, 3130
500000, 1567
4000000, 12365
750000, 2360
100000, 575
1000, 21
0, 0
5000000, 15073
3000000, 8914
2000000, 6155
1000000, 3067
500000, 1580
4000000, 12425
750000, 2366
100000, 554
1000, 6
0, 0
5000000, 15346
3000000, 8987
2000000, 6350
1000000, 3159
500000, 1602
4000000, 12809
750000, 2409
100000, 581
1000, 33
0, 0
5000000, 15389
3000000, 9035
2000000, 6258
1000000, 3173
500000, 1574
4000000, 12504
750000, 2366
100000, 556
1000, -1
0, 0
5000000, 15782
3000000, 9247
2000000, 6271
1000000, 3208
500000, 1657
4000000, 13055
750000, 2473
100000, 629
1000, 27
0, 0
5000000, 15354
3000000, 9223
2000000, 6248
1000000, 3240
500000, 1584
4000000, 12740
750000, 2432
100000, 581
1000, 21
0, 0
5000000, 14677
3000000, 8749
2000000, 5946
1000000, 3051
500000, 1518
4000000, 12154
750000, 2308
100000, 561
1000, 28
0, 0
5000000, 14884
3000000, 8864
2000000, 6059
1000000, 3097
500000, 1549
4000000, 12067
750000, 2335
100000, 558
1000, 27
0, 0
5000000, 15929
3000000, 9611
2000000, 6330
1000000, 3180
500000, 1678
4000000, 12916
750000, 2493
100000, 603
1000, 27
0, 0
